"업체(시설)명","인허가번호","업종코드","업종명","지도점검일자","점검기관","점검기관명","지도점검구분","처분대상여부","점검사항","점검결과","소재지도로명주소","소재지주소"
"태성도금","300000022199800008","22","폐수배출업소관리","20100603","3000000","서울특별시 종로구","정기","N","배출시설 및 방지시설 정상운영 여부","","","서울특별시 종로구 봉익동 11-14번지 "
"북악주유소","300000022200900003","22","폐수배출업소관리","20100723","3000000","서울특별시 종로구","수시","N","장마철 대비 방지시설 장상가동 여부","","","서울특별시 종로구 평창동 103-1번지 "
"알파색채 주식회사","300000022200600001","22","폐수배출업소관리","20100723","3000000","서울특별시 종로구","수시","N","장마철 대비 방지시설 장상가동 여부","","","서울특별시 종로구 평창동 283-1번지 "
"OK카서비스","300000022200900001","22","폐수배출업소관리","20100723","3000000","서울특별시 종로구","수시","N","장마철 대비 방지시설 장상가동 여부","","","서울특별시 종로구 평창동 66-32번지 "
"종오섬유","300000022200000006","22","폐수배출업소관리","20100813","3000000","서울특별시 종로구","정기","N","폐수방지시설 정상 가동 여부","","","서울특별시 종로구 충신동 206-12번지 "
"우리염색","300000022199900076","22","폐수배출업소관리","20100813","3000000","서울특별시 종로구","정기","N","폐수방지시설 정상 가동 여부","","","서울특별시 종로구 충신동 188-8번지 "
"대성섬유","300000022199700052","22","폐수배출업소관리","20100813","3000000","서울특별시 종로구","정기","N","폐수방지시설 정상 가동 여부","","","서울특별시 종로구 충신동 207-13번지 "
"신풍지퍼","300000022199700053","22","폐수배출업소관리","20100813","3000000","서울특별시 종로구","정기","N","폐수방지시설 정상 가동 여부","","","서울특별시 종로구 충신동 69-2번지 "
"효제사","300000022200000023","22","폐수배출업소관리","20100813","3000000","서울특별시 종로구","정기","N","폐수방지시설 정상 가동 여부","","","서울특별시 종로구 종로6가 238-32번지 "
"(주)두양","300000022199800022","22","폐수배출업소관리","20100813","3000000","서울특별시 종로구","정기","N","폐수방지시설 정상 가동 여부","","","서울특별시 종로구 종로6가 240-3번지 "
"진영염색","300000022199700054","22","폐수배출업소관리","20100813","3000000","서울특별시 종로구","정기","N","폐수방지시설 정상 가동 여부","","","서울특별시 종로구 종로6가 33-9번지 "
"신아염색","300000022199700051","22","폐수배출업소관리","20100813","3000000","서울특별시 종로구","정기","N","폐수방지시설 정상 가동 여부","","","서울특별시 종로구 종로6가 34번지 "
"미주염색","300000022199800084","22","폐수배출업소관리","20100813","3000000","서울특별시 종로구","정기","N","폐수방지시설 정상 가동 여부","","","서울특별시 종로구 종로6가 98-2번지 "
"종로염색","300000022199900134","22","폐수배출업소관리","20100909","3000000","서울특별시 종로구","수시","N","폐수배출시설 가동상태 확인 및 수질오염도 검사","","","서울특별시 종로구 효제동 197-1번지 "
"광명기획","300000021200400001","21","대기배출업소관리","20100928","3000000","서울특별시 종로구","정기","N","대기방지시설 정상 작동 여부 등","","서울특별시 종로구 수표로18가길 10 (관수동)","서울특별시 종로구 관수동 130-2번지 "
"서울잔넬코팅","300000021200400002","21","대기배출업소관리","20100928","3000000","서울특별시 종로구","정기","N","대기방지시설 정상 작동 여부 등","","서울특별시 종로구 수표로18가길 6-1 4층 (관수동)","서울특별시 종로구 관수동 140번지 "
"삼우특수칠","300000021200400003","21","대기배출업소관리","20100928","3000000","서울특별시 종로구","정기","N","대기방지시설 정상 작동 여부 및 검사의뢰","","서울특별시 종로구 수표로18가길 17 (관수동)","서울특별시 종로구 관수동 113-1번지 "
"대성","300000021200400004","21","대기배출업소관리","20100928","3000000","서울특별시 종로구","정기","N","대기방지시설 정상 작동 여부 및 검사의뢰","","서울특별시 종로구 수표로 84-6 (관수동)","서울특별시 종로구 관수동 143-7번지 "
"종로칠","300000021200400005","21","대기배출업소관리","20100928","3000000","서울특별시 종로구","정기","N","대기방지시설 정상 작동 여부 및 검사의뢰","","서울특별시 종로구 수표로18가길 25 (관수동)","서울특별시 종로구 관수동 102-2번지 "
"알파색채(주)","300000021200600001","21","대기배출업소관리","20100928","3000000","서울특별시 종로구","정기","N","대기방지시설 정상 작동 여부 및 검사의뢰","","서울특별시 종로구 세검정로 298 (평창동)","서울특별시 종로구 평창동 283-1번지 "
"대성기획","300000022199900095","22","폐수배출업소관리","20101117","3000000","서울특별시 종로구","정기","N","방지시설 정상작동 여부 등","","","서울특별시 종로구 묘동 101번지 "
"번개수리","300000025201000011","25","기타수질오염원관리","20100719","3000000","서울특별시 종로구","정기","N","폐수배출업소 신고사항 이행여부","","","서울특별시 종로구 종로3가 36번지 한양타운 303호 "
"한국스미토모상사(주)","300000042200500002","42","유독물판매업관리","20101119","3000000","서울특별시 종로구","정기","N","등록사항 변경신고 이행 여부","","","서울특별시 종로구 서린동 33번지 영풍빌딩 21층 "
"우리염색","300000022199900076","22","폐수배출업소관리","20101209","3000000","서울특별시 종로구","정기","N","방지시설 운영 상태","","","서울특별시 종로구 충신동 188-8번지 "
"서울대학교 암연구소","300000022199910001","22","폐수배출업소관리","20101220","3000000","서울특별시 종로구","정기","N","폐수배출시설 및 방지시설 적정 운영 등","","","서울특별시 종로구 연건동 28번지 "
"서울대학교 암연구소","300000022199910001","22","폐수배출업소관리","20101228","3000000","서울특별시 종로구","정기","N","폐수배출시설 및 방지시설 적정운영 여부 등","","","서울특별시 종로구 연건동 28번지 "
"비지무역","300000042201000001","42","유독물판매업관리","20101227","3000000","서울특별시 종로구","정기","N","관리대장 적정기록 여부 등","","","서울특별시 종로구 수송동 58번지 두산위브파빌리온 306호 "
"(주)제이아이유","300000042200400006","42","유독물판매업관리","20101227","3000000","서울특별시 종로구","정기","N","관리대장 적정기록 여부 등","","","서울특별시 종로구 수송동 58번지 두산위브파빌리온 522호 "
"주식회사 코프람","300000042200600004","42","유독물판매업관리","20101228","3000000","서울특별시 종로구","정기","N","관리대장 적정기록 여부 등","","서울특별시 종로구 삼봉로 81 2층 218호 (수송동)","서울특별시 종로구 수송동 58번지 218호"
"(주)에버그린물산","300000042200400009","42","유독물판매업관리","20101228","3000000","서울특별시 종로구","정기","N","관리대장 적정기록 여부 등","","","서울특별시 종로구 적선동 156-0번지 쌍용플래티넘 405호"
"자하문주유소","300000022199500009","22","폐수배출업소관리","20100211","3000000","서울특별시 종로구","정기","N","배출시설 및 방지시설 정상운영 여부","","서울특별시 종로구 자하문로 248 (부암동)","서울특별시 종로구 부암동 155-3번지 "
"특종주유소","300000022199700029","22","폐수배출업소관리","20100211","3000000","서울특별시 종로구","정기","N","배출시설 및 방지시설 정상운영 여부","","","서울특별시 종로구 평창동 198-1번지 "
"북악주유소","300000022200900003","22","폐수배출업소관리","20100211","3000000","서울특별시 종로구","정기","N","배출시설 및 방지시설 정상운영 여부","","","서울특별시 종로구 평창동 103-1번지 "
"OK카서비스","300000022200900001","22","폐수배출업소관리","20100211","3000000","서울특별시 종로구","정기","N","배출시설 및 방지시설 정상운영 여부","","","서울특별시 종로구 평창동 66-32번지 "
"경일석유(주) 세검정주유소","300000022199600004","22","폐수배출업소관리","20100211","3000000","서울특별시 종로구","정기","N","배출시설 및 방지시설 정상운영 여부","","","서울특별시 종로구 평창동 157-1번지 "
"세검정셀프세차타운","300000022200000012","22","폐수배출업소관리","20100211","3000000","서울특별시 종로구","정기","N","배출시설 및 방지시설 정상운영 여부","","","서울특별시 종로구 부암동 185-1번지 "
"명경주유소","300000022199600002","22","폐수배출업소관리","20100211","3000000","서울특별시 종로구","정기","N","배출시설 및 방지시설 정상운영 여부","","","서울특별시 종로구 평창동 80-1번지 "
"대주페트로(주)종로지점 안풍주유소","300000022199500012","22","폐수배출업소관리","20100211","3000000","서울특별시 종로구","정기","N","배출시설 및 방지시설 정상운영 여부","","서울특별시 종로구 자하문로 303 (홍지동)","서울특별시 종로구 홍지동 126-1번지 "
